col1;col2;col3;col4;col5;col6;col7;col8;col9;col10;target
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.97;2.97;3.35;3.35;3.35;3.72;3.72;3.72;3.72;3.72;1
4.46;4.83;4.83;4.83;5.2;5.58;5.58;5.58;5.58;5.95;1
7.06;7.06;7.06;7.06;7.81;7.81;7.81;7.81;7.81;8.18;1
8.92;9.29;9.29;9.29;9.29;9.67;9.67;9.67;10.04;10.04;1
10.78;10.78;10.78;11.15;11.15;11.52;11.52;11.52;11.52;11.52;1
12.27;12.27;12.64;12.64;13.01;13.01;13.01;13.01;13.38;13.38;1
14.13;14.13;14.13;14.13;14.5;14.87;14.87;14.87;15.24;15.24;1
15.99;15.99;15.99;15.99;16.36;16.36;16.36;16.73;16.73;17.1;1
17.47;17.47;17.47;17.47;17.84;17.84;17.84;17.84;18.22;18.22;1
18.59;18.96;18.96;18.96;18.96;19.33;19.33;19.33;19.7;19.33;1
20.07;20.07;20.07;20.07;20.07;20.45;20.45;20.45;20.45;20.45;1
21.19;21.19;21.19;21.19;21.19;21.19;21.19;21.56;21.56;21.56;1
21.93;21.93;21.93;21.93;22.3;22.3;22.3;22.3;22.3;22.3;1
22.68;22.68;22.68;22.68;23.05;23.05;23.05;23.05;23.05;23.05;1
23.42;23.42;23.42;23.42;23.79;23.79;23.79;23.79;23.79;23.79;1
24.16;24.16;24.16;24.16;24.16;24.54;24.54;24.54;24.54;24.54;1
24.54;24.91;24.91;24.91;24.91;24.91;24.91;24.91;24.91;25.28;1
25.28;25.28;25.28;25.65;25.65;25.65;25.65;25.65;25.65;25.65;1
26.02;26.02;26.02;26.02;26.02;26.02;26.02;26.39;26.02;26.39;1
26.39;26.39;26.39;26.39;26.77;26.77;26.77;26.77;26.77;26.77;1
27.14;27.14;27.14;27.14;27.14;27.14;27.14;27.14;27.14;27.51;1
27.51;27.51;27.51;27.51;27.51;27.51;27.51;27.88;27.88;27.88;1
27.88;27.88;27.88;28.25;28.25;28.25;28.25;28.25;28.25;28.25;1
28.62;28.62;28.62;28.62;28.62;28.62;29;29;29;29;1
29;29;29;29;29.37;29.37;29.37;29.37;29.37;29.37;1
29.74;29.74;29.74;29.74;30.11;30.11;30.11;30.11;30.11;30.11;1
30.48;30.48;30.48;30.48;30.48;30.48;30.48;30.48;30.48;30.48;1
30.86;30.86;30.86;30.86;30.86;31.23;31.23;31.23;31.23;31.23;1
31.6;31.6;31.6;31.6;31.97;31.6;31.6;31.97;31.6;31.97;1
31.97;32.34;32.34;32.34;32.34;32.34;32.34;32.34;32.34;32.34;1
32.71;32.71;32.71;32.71;32.71;33.09;33.09;33.09;33.09;33.09;1
33.46;33.46;33.46;33.46;33.46;33.46;33.46;33.83;33.83;33.83;1
33.83;33.83;34.2;34.2;34.2;34.2;34.2;34.2;34.2;34.57;1
34.57;34.57;34.94;34.94;34.94;34.94;34.94;34.94;34.94;34.94;1
35.32;35.32;35.32;35.32;35.69;35.69;35.69;35.69;35.69;35.69;1
36.06;36.06;36.06;36.06;36.06;36.43;36.43;36.43;36.43;36.43;1
36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;37.17;37.17;1
37.17;37.17;37.55;37.55;37.55;37.55;37.55;37.55;37.55;37.55;1
37.92;37.92;37.92;37.92;37.92;37.92;38.29;38.29;38.29;38.29;1
38.66;38.66;38.66;38.66;38.66;38.66;39.03;38.66;39.03;39.03;1
39.03;39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.41;1
39.78;39.78;39.78;39.78;40.15;40.15;40.15;40.15;40.15;40.15;1
40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;1
40.89;40.89;40.89;40.89;40.89;40.89;40.89;40.89;41.26;41.26;1
41.26;41.26;41.26;41.26;41.26;41.26;41.26;41.26;41.64;41.64;1
41.64;41.64;41.64;42.01;42.01;41.64;42.01;42.01;42.01;42.01;1
4.09;4.09;4.09;4.09;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.35;3.72;3.35;-1
3.72;3.72;3.72;3.72;3.72;3.35;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.35;3.72;3.72;3.72;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;2.97;3.35;2.97;3.35;2.97;3.35;2.97;-1
3.35;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
22.14;22.14;22.14;22.51;22.14;22.51;22.51;22.51;22.51;22.51;1
22.88;22.88;22.51;22.88;22.88;22.88;22.88;22.88;22.88;22.88;1
23.25;23.25;23.25;23.25;23.62;23.62;23.62;23.62;23.62;23.62;1
23.99;23.99;23.99;23.99;23.99;23.99;24.35;24.35;24.35;24.35;1
24.72;24.72;24.72;24.72;25.09;25.09;25.09;25.09;25.09;25.46;1
25.83;25.83;25.83;25.83;26.2;26.2;26.2;26.2;26.2;26.57;1
26.94;26.94;26.94;26.94;27.31;27.31;27.31;27.31;27.68;27.68;1
28.04;28.04;28.04;28.04;28.41;28.41;28.41;28.41;28.78;28.78;1
29.52;29.52;29.52;29.52;29.52;29.52;29.52;29.52;29.89;29.89;1
30.26;30.26;30.26;30.63;30.63;30.63;30.63;30.63;31;31;1
31.37;31.37;31.37;31.37;31.73;31.73;31.73;31.73;31.73;31.73;1
32.1;32.1;32.47;32.47;32.47;32.47;32.47;32.84;32.84;32.84;1
33.21;33.21;33.21;33.21;33.58;33.58;33.58;33.58;33.58;33.58;1
33.95;33.95;33.95;33.95;34.32;34.32;34.32;34.32;34.69;34.69;1
35.06;35.06;35.06;35.06;35.06;35.06;35.06;35.42;35.42;35.42;1
35.79;35.79;35.79;35.79;35.79;35.79;35.79;36.16;36.16;36.16;1
36.53;36.53;36.53;36.53;36.53;36.53;36.53;36.53;36.9;36.9;1
37.27;37.27;37.27;37.27;37.27;37.64;37.64;37.64;38.01;38.01;1
38.38;38.38;38.38;38.38;38.38;38.38;38.38;38.38;38.75;38.75;1
39.11;39.11;39.11;39.11;39.11;39.11;39.11;39.11;39.48;39.48;1
39.48;39.48;39.48;39.85;39.85;39.85;39.85;39.85;39.85;39.85;1
40.22;40.22;40.22;40.22;40.59;40.59;40.59;40.59;40.59;40.59;1
40.96;40.96;40.96;40.96;40.96;40.96;40.96;41.33;41.33;41.33;1
41.33;41.7;41.7;41.7;41.7;41.7;41.7;41.7;41.7;42.07;1
42.07;42.07;42.07;42.07;42.44;42.44;42.44;42.44;42.44;42.44;1
42.44;42.44;42.44;42.44;42.44;42.8;42.44;42.8;42.8;42.8;1
42.8;42.8;42.8;43.17;42.8;43.17;43.17;43.17;43.17;43.17;1
43.17;43.54;43.17;43.54;43.54;43.54;43.54;43.54;43.54;43.54;1
43.91;43.91;43.91;43.91;43.91;43.91;43.91;44.28;44.28;44.28;1
4.43;4.43;4.06;4.06;4.06;4.06;4.06;3.69;3.69;3.69;-1
3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;-1
3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;-1
3.32;3.32;3.32;3.32;3.32;3.32;2.95;2.95;3.32;3.32;-1
3.32;3.32;3.32;3.69;3.69;3.32;3.69;3.69;3.69;3.69;-1
4.06;4.06;4.06;4.06;4.06;4.06;4.06;4.06;4.06;4.06;-1
4.43;4.43;4.43;4.43;4.43;4.43;4.43;4.8;4.8;4.8;-1
4.8;4.8;4.8;4.8;5.17;5.17;5.17;5.17;5.17;5.17;-1
5.17;5.17;5.17;5.17;4.8;4.8;4.8;4.8;4.8;4.8;-1
4.43;4.43;4.43;4.43;4.43;4.43;4.43;4.43;4.43;4.06;-1
